1.347	0.929	0.649	0.036	0.152	0.672	0.894	0.001	0.252	0.067
1.341	0.912	0.663	0.037	0.157	0.676	0.892	0.001	0.253	0.058
1.377	0.928	0.654	0.034	0.159	0.676	0.897	0.002	0.257	0.050
1.388	0.920	0.640	0.034	0.165	0.695	0.882	0.002	0.243	0.056
1.384	0.908	0.655	0.037	0.165	0.695	0.882	0.002	0.243	0.056
1.378	0.905	0.664	0.035	0.156	0.688	0.886	0.002	0.242	0.059
1.379	0.905	0.656	0.032	0.158	0.709	0.891	0.003	0.215	0.060
1.347	0.906	0.679	0.037	0.160	0.685	0.886	0.002	0.254	0.053
1.362	0.924	0.650	0.036	0.148	0.675	0.890	0.002	0.249	0.068
1.325	0.943	0.663	0.035	0.148	0.710	0.880	0.001	0.242	0.067
1.340	0.935	0.660	0.034	0.148	0.710	0.880	0.001	0.242	0.067
1.360	0.917	0.654	0.037	0.160	0.685	0.886	0.002	0.254	0.053
1.382	0.934	0.632	0.035	0.157	0.676	0.892	0.001	0.253	0.058
1.355	0.920	0.661	0.035	0.158	0.679	0.897	0.001	0.249	0.060
1.349	0.894	0.685	0.040	0.158	0.679	0.897	0.001	0.249	0.060
1.369	0.910	0.666	0.035	0.159	0.682	0.884	0.001	0.242	0.061
1.369	0.910	0.666	0.035	0.153	0.689	0.888	0.001	0.243	0.060
1.364	0.931	0.643	0.035	0.152	0.703	0.899	0.002	0.223	0.058
1.374	0.910	0.653	0.034	0.165	0.700	0.896	0.001	0.227	0.050
1.374	0.910	0.653	0.034	0.161	0.700	0.895	0.003	0.230	0.052
1.373	0.900	0.657	0.034	0.165	0.700	0.896	0.001	0.227	0.050
1.373	0.900	0.657	0.034	0.161	0.700	0.895	0.003	0.230	0.052
1.364	0.871	0.695	0.035	0.149	0.681	0.889	0.001	0.264	0.064
1.370	0.918	0.644	0.038	0.158	0.691	0.905	0.001	0.238	0.057
1.391	0.911	0.657	0.034	0.158	0.691	0.905	0.001	0.238	0.057
1.350	0.904	0.654	0.033	0.156	0.692	0.894	0.002	0.245	0.057
1.350	0.904	0.654	0.033	0.166	0.709	0.889	0.003	0.217	0.048
1.350	0.904	0.654	0.033	0.168	0.702	0.885	0.001	0.230	0.051
1.374	0.883	0.680	0.033	0.156	0.692	0.894	0.002	0.245	0.057
1.374	0.883	0.680	0.033	0.166	0.709	0.889	0.003	0.217	0.048
1.384	0.887	0.656	0.036	0.166	0.709	0.889	0.003	0.217	0.048
1.376	0.913	0.648	0.034	0.156	0.692	0.894	0.002	0.245	0.057
1.376	0.913	0.648	0.034	0.166	0.709	0.889	0.003	0.217	0.048
1.373	0.905	0.650	0.036	0.156	0.692	0.894	0.002	0.245	0.057
1.373	0.905	0.650	0.036	0.166	0.709	0.889	0.003	0.217	0.048
1.375	0.911	0.646	0.033	0.171	0.687	0.885	0.001	0.249	0.049
1.375	0.911	0.646	0.033	0.166	0.709	0.889	0.003	0.217	0.048
1.378	0.910	0.654	0.035	0.166	0.709	0.889	0.003	0.217	0.048
1.367	0.863	0.694	0.036	0.173	0.689	0.872	0.002	0.253	0.049
1.376	0.860	0.691	0.035	0.173	0.689	0.872	0.002	0.253	0.049
